t,x,tf,ts
0.6240625,0.895,1.0054532,1.0020878
0.7835125,0.778,1.1705903,1.0921224
0.39810625,0.469,1.0121838,1.0040311
0.41590625,0.948,0.99996233,1.000044
0.94975,0.457,2.4281511,2.0632238
0.4155844,0.479,1.0203714,1.0069673
0.7788031,0.993,1.029839,1.0189488
0.2395625,0.723,1.0000385,1.0001847
0.34712186,0.067,3.1083422,1.5050358
0.27600312,0.428,1.0001925,1.0000008
0.7563844,0.833,1.0859164,1.0436609
0.8521375,0.145,3.476267,2.9490924
0.010440625,0.428,1.000071,0.9999853
0.76192814,0.558,1.6153585,1.3733214
0.78310627,0.866,1.0832527,1.0435737
0.7272969,0.916,1.0264716,1.013267
0.33194062,0.864,1.0000641,1.0001551
0.09474687,0.245,1.000028,0.9999638
0.7635375,0.671,1.3186269,1.1797248
0.30922812,0.423,1.0001802,0.99993294
0.5528125,0.908,1.0006305,1.0000936
0.3321875,0.062,3.0934718,1.4218917
0.33334374,0.416,1.0007073,1.0001633
0.1943375,0.477,1.0000607,1.0000972
0.62570935,0.292,2.3681936,1.8428259
0.5650906,0.054,3.6527867,2.5307395
0.47165,0.67,1.0031408,1.0014215
0.10005,0.987,0.99998313,1.000172
0.19085938,0.363,1.0000091,1.0000373
0.62282187,0.675,1.090546,1.0431556
0.74158126,0.764,1.1358011,1.0704628
0.6104031,0.299,2.2812965,1.767784
0.8722344,0.355,2.6746137,2.2531106
0.17785938,0.646,1.0000701,1.0001621
0.9010625,0.996,1.1034466,1.0714461
0.8485906,0.264,3.0062172,2.5386708
0.7830125,0.141,3.423752,2.8313346
0.13966562,0.86,0.99999315,1.0001905
0.73228127,0.03,3.8630884,2.9824681
0.21408124,0.047,0.9996171,0.9999174
0.7942156,0.774,1.190024,1.1040877
0.8735875,0.274,3.006325,2.5547516
0.7812156,0.942,1.0414947,1.0236491
0.46109375,0.032,3.7308524,2.193268
0.6484906,0.061,3.673978,2.749292
0.46017814,0.748,1.0004337,1.0002337
0.21534374,0.882,0.99994427,1.000221
0.117725,0.059,1.0003465,1.0002156
0.7674406,0.54,1.6887978,1.4253896
0.5031094,0.972,0.9998254,0.99986446
0.0718875,0.071,1.0002829,1.0001231
0.8274438,0.259,2.9918222,2.5111816
0.6725063,0.651,1.1922944,1.0986822
0.26907814,0.388,1.000172,0.9999839
0.62630624,0.695,1.0762645,1.0361823
0.90775,0.211,3.2935078,2.8406036
0.80255,0.133,3.4760396,2.8938396
0.41985938,0.209,2.0352135,1.3966534
0.3369875,0.829,1.0001031,1.0001367
0.864825,0.089,3.6869972,3.1116614
0.27018124,0.127,1.0568564,1.0042742
0.26585,0.749,1.0000532,1.000181
0.6926594,0.472,1.731838,1.4350575
0.62850624,0.189,2.9514716,2.2697983
0.9445375,0.321,2.9383702,2.5287793
0.9517625,0.514,2.219058,1.8830835
0.2793531,0.098,1.3868911,1.030745
0.6064219,0.665,1.0813972,1.0382249
0.1833875,0.819,0.9999831,1.000204
0.28625312,0.792,1.0000557,1.0001799
